1511347_REPORT

Date/Time Generated,5/17/16 11:47 AM
Report Time Zone,Europe/Paris
Account ID,1142
Date Range,5/8/16 - 5/9/16
Floodlight Configuration,Equals:1511347
Activity,Equals:Bedankpagina (843405)
Activity,Equals:Berekenen (2097235)
Activity,Equals:641485
Activity,Equals:641483
Activity,Equals:641490
Activity,Equals:Doel - auto (2616111)
Activity,Equals:Doel - auto tweedehandsauto (2615920)
Activity,Equals:Doel - keuken (2617308)
Activity,Equals:Freo.nl Homepage (654136)
Activity,Equals:314754
Activity,Equals:1013673
Activity,Equals:Lenen (2302102)
Activity,Equals:Mijn lening (2097248)
Activity,Equals:Over Freo (2099031)
Max Number of Click Interactions,100
Max Number of Impression Interactions,100
Include Unattributed Cookie Conversions
Include Unattributed IP Conversions

Report Fields
